vias,graduaciones
Aizkora eta Sugea,6a+
Aukeran Lepo Bera,6a+
Olamian Jai,6c
Kontuk eta Komerik,7a+
Titadine,7a
Rotaflexa Garrasika,6a+
Dilinda-Lan,6a+
Lurra eta Askatasuna,6c
Koroaz Kokoteraino,6a+
Azken Anarkista,6b+
Txirripistin,6a+
Marisorgin,6a+
Unnamed 2,7a+
La Marciana,6c
Intxaursaltsa,6c+/7a
Alde Hemendik!,6b+
Beste bat,7a+
Mano negra,6b
Astenia primaveral,6c
Esta jodienda no tiene enmienda,6a+/b
Mas vale maña que fuerza,6b
Sin prisa pero sin pausa,6c
"El que tenga tienda, que la atienda",6b+
La del cristo,7a
"Si puedes bien, y si no tambien",6a+ - c
"Pa chulo, mi culo pirulo",6a+/b
Ajo y agua,6a - b
Equipando y con la oficina a cuestas,6a - b
Cuate aqui hay tomate,6a - c
Luckiluck,7a
Interrogozia,6a+
Josu Gartzia,6c
Errausketarki Ez,6b+
Gokyo,6b
03 - SN,6a+
1,6b+
01,6a+
02 Desplome beltza,6b
Katu kale,6b+
04 Kukuzcka Piotrowsky,6b
12 Tarzan de los bolos,6a+
13 Johny brusko,6a+
14 Kalikankamo,6a+
Marilurdex,6b
Krisis de Ansiedad,6c+
Cerrado por Derribo,6c
Ada apurtu,6c
Coitus interruptus,6a+
Fifiate,6b
Malestar,6a+
Zakilasto,6b+
Espolon bienestar,7a+
Joe Satriani,6a+
Kapel,6a/a+
Hamabost,6b
Musguillo en el sobaquillo,7a
Si no hay txotx no hay stops,7a
Rue 13 del Percebe,6b
P.R.S.,6b
Txanpi,6a+
Sardinas Chantilly,7a+
Picado Barrena,7a
Pas de coinceurs,7a
Txotxoloko,6c
Mikuki,6b
Hatzi Txotx,6b
Wankatanka,6b
Banana Split,6c+
Ana,6c+
Gokyo,6a+
Blanca,6b+
Stig drill master,6a+
Urtxintxak bezala,6a+
El hombre de plástico,7a+
Pipirita 51,6a+
Gorostia,6b+
El lector de huesos,6b
Unidad patatera,6b
Aldapan Behera,6a+
Mary poppins,6a+
Argibeltz,6c
Arañilla,6c+
Aldakan Gora,6b+
Maximo respeto,6c+
Vomito Prematuro,6b+
Subetu,6c
49 Primaveras,6b+
Morenito maltzurra,7a+
Baidabai,6b+
5erak,6c+
Minimalista,7a
Moztakita,6c+
Moxkorbidea,7a+
Proiekt,6c
Ezkerrekoa,6c
Hiruko saskiratzea,6c+
Iguarrako,6c+
?,7a
La guarra de Rosa,6b+
Mildred,6c
Iñigo For Ever,6b+
Hooters,7a
La placa inmunda,7a+
La Trave de Iñi,6b+
La facil del Mono,7a+
La facil del Pi,6b
La facil de Fran,6b+
Txiritxi el de Kantarranas,7a+
Kanaya monta kantxa,6b+
Txomin raboturbo,6c
A Vista a la Tercera (la bañera),6b+
el cuartito oscuro,6a+
Txanklin plof,6b
Aingeru gran pakete,6b+
Al loro con pito de oro,7a
operacion Boti,6c+
Tipo McDowel,6b+
Zapato veloz,6c+
"Ala, A jugar a pala",6c
Lambrusco,6b
La tia vinagre,6b
Pitquejoso,6a+
Ay que risa con la trikitrixa,6a+
"Pio por aqui, pio por allá",6c
Salam Alaikum,6c+
Pinotxo,7a
Zorion el Futbolista,6c+
Ikilimiliklik,7a
Crisis de Identidaz,7a+
Polltax,7a
Limonada,7a+
Melodia,7a
INRI,7a
Kontuz Ibili,6c
Espasmos,7a
Avirex,7a
No Te Fies,7a+
Maiane Ne Ne,7a
Monky,6b
Sagar Ondo,6b+
Tio Zacks,7a+
Mutiko Jatorrak,7a+
Maki Goloso,6c
Mala Madre,6b+
El Hilo Gris,6a+
14º 4A,6b+
Culyudetimes,6b+
La Boa,7a
Rodeo,6c+
Caminillo,6c+
Del Gozo al Pozo,6b
Club Ska,6b
Ihitaixa,6b+
Patina Turner,6c+
Bai Noski,7a
Turning 06,6a+
Heletta,6a+
Plaentxiko Mutila,6b
Fortunata y la Cinta,6b+
Sagarroiak,7a
Veni Vidi Vici,7a
Jakuzzi,6a+
Sattamassagana,6c
Poto,6b+
Mr. Bajoy,6c
Falsa Alarma,7a+
Txalaparta,7a
Haizea,6c+
Bolinga,6a+
Marino Lejarreta se la Sube en bicicleta,6a+
"Itxeke, Izen Barik",7a
Cuanta Violensia,6b+
Axular,6c
Axular Extension,7a
Kaskandril,7a+
El Ultimo Marañón,7a+
Reina Mora,7a+
Essencie Absolue,7a
Tatonka Iyotake,6a+
Festejos y Lágrimas,6c+
Mairuaren Adardea,6b
Afán de Lucro,6c
Afán de Lucro Extension,7a
El Mercader de Venecia,7a
Vis Plastica,7a
Nielka,7a
Mascarada,6c
Marfilezko Zutabea,6b
La Ratita Presumida,6c+
Audaz Guerrillero,6c
Tambor de Guerra,7a
Se Bon Tres Bian,6c+
Al Loro Txis,6c+
El Palo de Nimes,6a+
Agam enon,6b
Bitorianatxo,6b+
Kaskarreko,6b+
Sirtaky,6c+
Mireiapalante,7a+
Kaio Beltza,7a
Dulce Abismo,6c
Udazken Lizuna,6c
Paleodieta,6c
Inversión Giratoria,7a
Leyendas de Pasión,7a+
Psikotropikoa,6a+
Molloco Vellocet,6b+
El Silencio De Los Cordinos,6a+
Izarren Hautsa,6a+
Efectos Secundarios,6c+
Galtzagorri Gerratik Etorri,6c
Y su alumno aventajado,6a+
Bon vivant,6b - c
El impaciente bergarés,7a
Centros de poder,7a - b
Errepidean,6a+
Saguaro,6a+
Ametsak Gauzatu,6c
Txerrikorta,6c
Zu Zare Hor,7a
Dun Dun Di Di,6b - c
Thank you,6a+
Zubipetarrak,6b+
Riau Riau,6c
Behera denok,6b
Gora denok,6b+
Harri-tiro,7a
Sin City,6c+
Cochambre,6c - 7a
Alajú,6c
Gazteria 18,6b - c
Morteruelo,7a
Sudadera,7a
Euskal txoniak,6c+
Ortopedik Gasteiz,7a+
Prunus Espinosa,6a/a+
Serengeti,6a/a+
Frutos del huerto,6a/a+
Zarzamora,6a/a+
Pro. Brakak,7a+
Gibel urdine,6a+
Tripaki,6a+
Amanita,6b
Que guapo eres escalando Argi,6a+
El Boss,6c
Ricardo Berodia (1975),7a A2+
Mon ami,6b
Azkenean,6a+
Arritxulo aterpetxea,6b
"Hardcore, Cord Is Cut",6c
Hardcore Mutherfucker,6c+
5,6b
6,6c
8,6b+
Ez apurtu,6b
Astabiria,6a+
Llavos ta Txapar,6a+
Un poco mas que cuarto mas,7a
Manzanita,7a+
los bilbanios,6b
Copito forever,6a+
Pitufo Beltza,6c+
Nora,6a+
Decoteitor,7a+
Abismo Inverosimil,7a+
Chiaro de luna,6c
La nevera de l Sergi,6c
H2 Trix Pelotex Lance Cumson,6c
El potro de basauri,6b+
Panato calienta txotxos,6b+
Txinarroaren Partzuergoa,6b+
Betula Pendula,6b+
Que buena fisura para una cosa tan dura,7a+
Txotxo que polla no pilla es que tiene ladillas,7a+
No hay pequeño bueno,7a
La Salvacion del pijo de panato,6c+
Alcoholicos pablonimos,7a+
Ratos de Porao,7a+
Arroz Punk,7a+
la tuya,7a+
Fran sin Ñapa,7a+
Variante Purdo,6c
Purdo gogoan zaitugu,6b+
Xambo rey del mambo,6b
Derrapes beitia,6a+
Tiger y el rey del porno duro,6b
El acelerador de particulas,6b
de oficio Abridor,6c
Extasis,7a+
Contra pronostico,7a+
Contra ramones,6c
La ramones,7a+
Por el culo te la Hinco,6b+
Delicatessen,6b
Halterofilia en familia,7a+
obesity of destruction,7a
sin nombre,7a
aupa atleti,6b+
La lista negra de John,6c+
Mendeku Rock,7a
El rey del Pintxopote,7a+
Argi Ibili,7a+
Salao Maravillao,6c+
boketalandia,6c
La bobada del filo,6c
Me gusta ser un Smarti,6b+
Sahara Libre,6c+
El hermitaño Herniau,6c+
La piel del oso,6b
Los moñas,6c
Mas de 3 es paja,7a
Monty Face,6c
Expo si te Hostias,7a
Expo si te vuelves a Hostiar,6b
Revirado,6c+
Galleos,6c
Vte. Txubasqueiro,7a+
Txubasqueiro du Pito,6c+/7a
Me Río de Janeiro,6b - c
Gurrutxurtu,6b - c
Lasai-Lasai,6c/c+
Ya te Digo,6b+
Tipi-Tapa,6c+
La de Willy,6b
Diedro Olvidado,6a+
El bosque de Los Inurios,6b
Flowers,6a+
Ekain,6b
Arteka,6b
Hipernova,6c
Columna De Hércules,6b - c
Desgacia Humana,6c
Locura Colectiva,6b
Azkena-Pene de Hercules,6b
Largo Juan Cruz,6b+
Joderconelseisa,6a+
Oreina,6b+
Masdesectoenascensor,6b+
Alakran,6b
Alegría,6c+
Mas alegría,6c+
Suci's,7a+
SN16,6c/c+
SN6,7a
SN7,6b+
Abrazme fuerte,6b+
Bestearen Baba,6a+
El refajo de la cabra,6b+
Gaztantxo,6a+/b
Eskatxabeltza,6c
El filo de Trizon,6c
Trikimailuak,7
Variante Karpe Diem,7a+
La baba de esa,6a+
La calva marcada,6b
Urrengon,6b
Matapastores,6a+
Falta leve 500€,7a/a+
Variante Falta leve 500€,6c+
Espaina odoletan,6c
El techo que me cobija,6b+
Todos menos dos,6c+
Variante discordia,6a+
Libertaria,6a+
Mamarru,6c
Chuparretretes,6c
Diedro Mozolo,6a+
Variante Beste Aukera,6b
Siempre tiene que haber uno mas listo que los demas,6b+
Demokrazia Faltsua,6b
Sasi Txori,7a+
Variante,7a
Tristinitis,6c+
Goian Bego,6b
Variante Goian Bego,6c
Pausoka,7a
Ispaster Konektion,6a+
Wolfgangen oroimenez,6c
Inshala,6b+
Haize Hotza Urteten Den Bazterra,6c
Gotxa como tu potsa,6a+
La raja de Maria la bandida,6b
Puto gordo jabali,6a+
Fiesta polar,6a+
Flashwinder,6c
Caribeña,6a+
Peritonitis,7a+
Fragel rock (fisura),6b
La rana,6a+
Maria (hasta arriba),7a
Viaje nocturno,7a+
SN2,6b
Gora gu ta gutarrek,6c
Tragabolas,6c
TMM,6b
SN4,6b+
Petado de amor,7a+
Cuatro vias a la izda de bitxi,7a
Tres vias a la izqda de Bitxi,7a
Dos vias a la izda de bitxi,7a
Bitxi,7a
Carbona not glue,6b+
Restos del naufragio,7a+
SN,6b
Mi héroe,7a
Bixkor,6b
Kozkor,6a+
"Aia o no Aia, Kaña",6c
Proyecto joder,7a
Beltza,6b+
Caballo loco ha vuelto a tropezar,6b
Motz arrantzale,6a+
No Name 1,6a+
6b+ Vixence,6b
Ventilo,6b+
La traction lunaire,6b
Jaizki Antimilitar,6c
Txerrimuno,6a+
Eskopetero Akatua,6a+
Txemistarri,6c
Lluvia de Estrellas,6b+
2- Mister Zapping,7a+
3- Melena de leon,6b+
6- Cannuti per tutti,6a+
Jai Alai,6c
La Gran Pelusa,6c
11 Nahikoa da,6b
13 Donde las dan,6b+
14 Promiscuidad,6a+
5- SN,6c
Kurt Albert - Loretan,6c+
Abiadura andiko trena K.K.,6b+/c
Puton verbenero,6a+
Chungiflai,5c - 6c
Mi reyno por un pica,6b - 7a+
Tomaz humar,5c - 6c
Siroco loco,6a+
Energia cero,6a+
Mataserpas / Aitona,6b+
Mision imposible,6b+
Apapa-LME,6b+
DesploTalla,6c
Directa Desplo,6c
Via lactea-LME,6b+/c
Wendi,6c
Ardoska,7a+
Gineta,6c
Kaioa,6b+
Lasaiki,6c+
Cocaína,6b
Berantarbi-Canabera,6c+
Batike,7a
Pintores daltonicos,6c
Bodas icaro - Vuelo figaro,6b - 7a+
Apeta,7a+
Berdin Zait,6c
Kukuxka,6a+
Urkatt,6c+
Arista vista,7a
Mix Cuatro Indiab Hitz.,6c
Infusio,6b
Ezpata,6a+
Begihandi,6c
Significado de grupo,6b
Win Hof,6a+
Clavada,6a+
Placa placa,6b+
Aguya,6b
Kienpica,6c
Gure Lobak,6b
Tócame el bloque Roque,6c
Homenaje a Miguelito,6b
Lander,6b+
Geologik,5B
Kazan,6A+
Goa,5C
Izarren hautsa,6A
Desviada,6a+
Elo,6b+
Yoli,6b+
Metamorfosis,7a
El Vaquilla,7a+
Laranja ura,6b+
Azken Hatsa,6c
Tentazioa Goian Bizi Da,7a+
Kapar Demokratak,7a+
Esne bidea,6c+
Basotsa,6b+
Radio 5 Todo Mentiras,7a
Sexante,7a
Val-del-agobio,7a
Zintzarria,6b
Azkena Agian,6c
Lasin,7a+
N°1,7a
La invertida,6a+
La dama de la guadaña,6c
Entre el miedo y el deseo,6a+
El salto de la rana,6b
Beti Aurrera,6c+
La Jaima,6c+
Sin Bacalao,7a
Iceberg a la deriva,7a
Iron Maider,6a+
Pelma y Luis,6b+
Supernenas,6b+
Tía Ganga,6b+
SN2,6b+
SN3,6b+
SN4,6c
SN5,7a+
San Martín,7a
n°8,6c
n°9,7a+
El legado,7a+
Pin pan pun,7a+
unk 4,7a+
Ezker Muturrekoa,7a
Kostata,6b+
Pozarren,6b+
Hasieran Dagi Koska,7a
Jauria Episcopal,7a
Soflamista,7a
Adolfoaren Legadua,6b
Justidad y Liberticia,6b
Mamporreo Judicial,6c
Forro de Ermua,6c
Pasta ya!,6b+
Noraezean,7a+
Dabilen Harria,6c
Bazterrean Gozo,6c
Ezustean,6b
Damoklesen Blokea,6b
Sweet Promised Land,6b
Sika Zikin,6c+
Krotxet,6c
Totem,6b+
Arteak Hartu Ezinik,6c+
Kepa Tocapelotas,6c
"Miguelico, Caudillo Naburro",6c+
Igongo Gatxink,6b+
Ahaztuak,7a+
Zazbigarren Zigilua,7a
Last But Not Least,7a
S/N 2,6b+
S/N 3,6c+
S/N 5,6a+
S/N 6,6b
Exibazioa,6b+
Saca la fiambrera,7a+
Diedro bariantea,6b
Sakura,6b+
Rompetetxus,6b
Hego haizea,6b
6b,6b
Sanglas,6a+
Shunt,6a+
Agonias frik,6c
Peligros varios,7a
Boulder,6c+
Alabamos,7a
Xaguxarra,6b
Arin ariña,6b
Trikitrixa,7a
No es serio este cementerio,7a+
Bi Joxe,6c
Foxtrot,6c+
Tropikal,7a
Txanpona fatxa,6b+
Fex,6c
Koasta,6b
Ekintza zuzena,6c
Ibon askatu,6a+
Hartzito,6b
Ja-ja eta ji-ji asko baina jo gutxi,6b+
Ez fish,6a+
Txibitron,6b
Angelillo Txiflin,6a+
Atzetik dariola,7a
Zirikatu,6c+
Herrimina,6b
La de Juanmi,7a+
La buena moza,6a - b
Happy mornings,6b - c
Ay mamá,6b+
Marisorginak,6b
Abel mató a Caín,6a+
La Caja Beltza,6a+
La Vía de Jon,7a+
Txomin,6a+
Otoño Tropical,6a/a+
De Guatemala A Guatepeor,6a+/b
Que corra la sangre,7a+
unkonwn 3,7a/a+
El bosque magico,7a/a+
unkonwn 4,6c
Anorexia Sexual,7a
Destino final,6b+
Kakiñoli,6b
unkonwn 5,6b+
Vaya soba me dao,6b+
unknown 9,6b
unkonwn 6,6b
Basajaun,6b
unkonwn 7,6c
Pendejos,6b+
unkonwn 8,6b
Comando Nabo,7a+
Histeria,7a+
